Dataset,Model,Hour,type,Score,std
dev,bigrams,0.5,adj_noun_order,42.7834375,2.688211552465033
dev,bigrams,0.5,anaphor_gender_agreement,52.577499999999986,0.9617759111278519
dev,bigrams,0.5,anaphor_number_agreement,53.2771875,2.9501604487531012
dev,bigrams,0.5,determiner_noun_agreement,45.5290625,1.8633881028315593
dev,bigrams,0.5,noun_verb_agreement,49.283124999999984,1.2860001442331714
dev,bigrams,0.5,noun_verb_order,56.12156249999999,6.849169061621814
dev,bigrams,1.0,adj_noun_order,41.99187499999999,2.8489810713939976
dev,bigrams,1.0,anaphor_gender_agreement,52.33624999999998,1.0384658349327527
dev,bigrams,1.0,anaphor_number_agreement,53.944375,2.645119593003372
dev,bigrams,1.0,determiner_noun_agreement,44.79625,2.045853004526239
dev,bigrams,1.0,noun_verb_agreement,49.57875,1.319358959690699
dev,bigrams,1.0,noun_verb_order,53.580625,5.860899929522
dev,bigrams,2.0,adj_noun_order,41.1965625,2.4515217254108306
dev,bigrams,2.0,anaphor_gender_agreement,52.76999999999998,1.2737929137409967
dev,bigrams,2.0,anaphor_number_agreement,52.7715625,3.004682484835529
dev,bigrams,2.0,determiner_noun_agreement,44.21281249999999,2.177438913442625
dev,bigrams,2.0,noun_verb_agreement,49.143125000000005,1.3708637199625933
dev,bigrams,2.0,noun_verb_order,52.76343750000001,4.850723663587102
dev,bigrams,4.0,adj_noun_order,40.3565625,2.3579003910327185
dev,bigrams,4.0,anaphor_gender_agreement,51.93312499999998,1.4984689767204227
dev,bigrams,4.0,anaphor_number_agreement,52.85187500000001,2.025000896057148
dev,bigrams,4.0,determiner_noun_agreement,43.3165625,1.862671701329972
dev,bigrams,4.0,noun_verb_agreement,49.2396875,1.2739106272774101
dev,bigrams,4.0,noun_verb_order,54.93000000000001,4.596923936440471
dev,bigrams,8.0,adj_noun_order,39.815625,1.577960577243086
dev,bigrams,8.0,anaphor_gender_agreement,51.675625000000004,2.048638470627101
dev,bigrams,8.0,anaphor_number_agreement,52.620625000000004,2.1119358220994013
dev,bigrams,8.0,determiner_noun_agreement,43.331875,1.4404129905458813
dev,bigrams,8.0,noun_verb_agreement,48.714375,1.0873206748701132
dev,bigrams,8.0,noun_verb_order,54.76875,4.865372716109903
dev,bigrams,16.0,adj_noun_order,39.375,1.9285820105529792
